code,plain_name,source
A4562,"Pessary, reusable, non rubber, any type",cms_hcpcs_l2
A4563,"Rectal control system for vaginal insertion, for long term use, includes pump",cms_hcpcs_l2
A4564,"Pessary, disposable, any type",cms_hcpcs_l2
A4565,Slings,cms_hcpcs_l2
A4566,"Shoulder sling or vest design, abduction restrainer, with or without swathe",cms_hcpcs_l2
A4570,Splint,cms_hcpcs_l2
A4575,"Topical hyperbaric oxygen chamber, disposable",cms_hcpcs_l2
A4580,"Cast supplies (e.g., plaster)",cms_hcpcs_l2
A4590,"Special casting material (e.g., fiberglass)",cms_hcpcs_l2
A4593,"Neuromodulation stimulator system, adjunct to rehabilitation therapy regime,",cms_hcpcs_l2
A4594,"Neuromodulation stimulator system, adjunct to rehabilitation therapy regime,",cms_hcpcs_l2
A4595,"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)",cms_hcpcs_l2
A4596,"Cranial electrotherapy stimulation (ces) system supplies and accessories, per",cms_hcpcs_l2
A4600,"Sleeve for intermittent limb compression device, replacement only, each",cms_hcpcs_l2
A4601,"Lithium ion battery, rechargeable, for non-prosthetic use, replacement",cms_hcpcs_l2
A4602,"Replacement battery for external infusion pump owned by patient, lithium, 1.5",cms_hcpcs_l2
A4604,Tubing with integrated heating element for use with positive airway pressure,cms_hcpcs_l2
A4605,"Tracheal suction catheter, closed system, each",cms_hcpcs_l2
A4606,"Oxygen probe for use with oximeter device, replacement",cms_hcpcs_l2
A4608,"Transtracheal oxygen catheter, each",cms_hcpcs_l2
A4611,"Battery, heavy duty; replacement for patient owned ventilator",cms_hcpcs_l2
A4612,Battery cables; replacement for patient-owned ventilator,cms_hcpcs_l2
A4613,Battery charger; replacement for patient-owned ventilator,cms_hcpcs_l2
A4614,"Peak expiratory flow rate meter, hand held",cms_hcpcs_l2
A4615,"Cannula, nasal",cms_hcpcs_l2
A4616,"Tubing (oxygen), per foot",cms_hcpcs_l2
A4617,Mouth piece,cms_hcpcs_l2
A4618,Breathing circuits,cms_hcpcs_l2
A4619,Face tent,cms_hcpcs_l2
A4620,Variable concentration mask,cms_hcpcs_l2
A4623,"Tracheostomy, inner cannula",cms_hcpcs_l2
A4624,"Tracheal suction catheter, any type other than closed system, each",cms_hcpcs_l2
A4625,Tracheostomy care kit for new tracheostomy,cms_hcpcs_l2
A4626,"Tracheostomy cleaning brush, each",cms_hcpcs_l2
A4627,"Spacer, bag or reservoir, with or without mask, for use with metered dose",cms_hcpcs_l2
A4628,"Oral and/or oropharyngeal suction catheter, each",cms_hcpcs_l2
A4629,Tracheostomy care kit for established tracheostomy,cms_hcpcs_l2
A4630,"Replacement batteries, medically necessary, transcutaneous electrical",cms_hcpcs_l2
A4633,"Replacement bulb/lamp for ultraviolet light therapy system, each",cms_hcpcs_l2
A4634,"Replacement bulb for therapeutic light box, tabletop model",cms_hcpcs_l2
A4635,"Underarm pad, crutch, replacement, each",cms_hcpcs_l2
